Statute,Code,Desc,Count
720-570/402(c),Drug,POSS AMT CON SUB EXCEPT(A)/(D),54447
720-5/19-1(a),Nonviolent,BURGLARY,15813
720-5/16A-3(a),Nonviolent,RET THEFT/DISPLAY MERCH/>$150,15276
720-570/401(c)(2),Drug,MFG/DEL 01-15 GR COCAINE/ANLG,13841
720-570/401(d)(i),Drug,OTHER AMT NARCOTIC SCHED I&II,11583
720-570/402(C),Drug,POSS AMT CON SUB EXCEPT(A,9840
720-570/401(c)(1),Drug,MFG/DEL 1-14 GR HEROIN/ANALOG,9832
720-5/24-1.6(a)(1),Violent,AGG UNLAWFUL USE OF WEAPON/VEH,9742
720-570/401(d),Drug,OTHER AMT NARCOTIC SCHED I&II,9669
625-5/11-501(a),Nonviolent,AGG DUI/NO VALID DL,9594
720-5/16A-3(A),Nonviolent,RET THEFT/DISPLAY MERCH/>,8106
720-570/407(b)(2),Drug,AMT NARC SCHED I/II/SCH/HS/PK,7942
720-5/16-1(a)(1),Nonviolent,THEFT/UNAUTHD CONTROL/>300<10K,7601
720-5/24-1.1(a),Violent,FELON POSS/USE FIREARM PRIOR,6802
625-5/4-103(a)(1),Nonviolent,RECEIVE/POSS/SELL STOLEN VEH,6452
720-5/19-3(a),Nonviolent,RESIDENTIAL BURGLARY,6437
625-5/11-501(A),Nonviolent,AGG DUI/NO VALID DL,6342
720-5/18-1(a),Nonviolent,ROBBERY,6047
720-570/407(b)(1),Drug,MFG/DEL HEROIN/SCH/PUB HS/PK,5689
625-5/6-303(d),Nonviolent,DRIVING REVOKED/SUSPENDED 2ND+,4025
720-5/19-1(A),Nonviolent,BURGLARY,3480
720-570/401(a)(2)(A),Drug,MFG/DEL 15<100 GR COCA/ANALOG,3273
720-5/12-4(b)(18),Violent,AGG BTRY/HARM/PEACE OFFICER,3045
720-5/18-5(a),Violent,AGGRAVATED ROBBERY,2977
625-5/6-303(D),Nonviolent,DRIVING REVOKED/SUSPENDED,2767
720-5/11-14(a),Nonviolent,PROSTITUTION/2ND,2698
720-550/5.2(d),Drug,MFG/DEL CAN 2.5<10 GRAMS/SCH,2629
720-5/17-3(a)(1),Nonviolent,FORGERY/MAKE/ALTER DOCUMENT,2624
720-5/18-2(a),Violent,ARMED ROBBERY,2512
720-5/9-1(A)(1),Violent,MURDER/INTENT TO KILL/INJ,2348
720-550/5(d),Drug,MFG/DEL CANNABIS/30-500 GRAMS,2229
720-5/18-2(a)(2),Violent,ARMED ROBBERY/ARMED W/FIREARM,2222
720-5/18-2(a)(1),Violent,ARMED ROBBERY/NO FIREARM,2113
730-150/6,Nonviolent,FAIL REPORT CHANGE OF ADDRESS,2053
720-550/4(d),Drug,POSS CANNABIS/30-500 GRAM/1ST,2045
720-5/9-1(a)(1),Violent,MURDER/INTENT TO KILL/INJURE,1923
720-5/9-1,Violent,ATTEMPT FIRST DEGREE MURDER,1844
720-5/24-1.6(A)(1),Violent,AGG UNLAWFUL USE OF WEAPO,1837
720-5/19-1,Nonviolent,BURGLARY,1823
720-5/24-1.1(A),Violent,FELON POSS/USE FIREARM PR,1820
625-5/4-103(A)(1),Nonviolent,RECEIVE/POSS/SELL STOLEN,1808
720-5/17-3(a)(2),Nonviolent,FORGERY/ISSUE/DELIVER DOCUMENT,1694
625-5/11-501(c)(1)(1),Nonviolent,DUI LIC SUSPENDED OR REVOKED,1667
720-5/16-1(a)(2),Nonviolent,THEFT/DECEPTION/>$300 <10K,1650
720-5/16-1(A)(1),Nonviolent,THEFT/UNAUTHD CONTROL/>30,1630
720-5/12-4(a),Violent,AGG BATTERY/GREAT BODILY HARM,1616
720-570/402(a)(2)(A),Drug,POSSESS 15<100 GRAMS COCAINE,1589
720-550/5(c),Drug,MFG/DEL CANNABIS/10-30 GRAMS,1573
720-570/401(C)(2),Drug,MFG/DEL 01-15 GR COCAINE/,1501
720-5/19-3(A),Nonviolent,RESIDENTIAL BURGLARY,1492
720-570/401(D),Drug,OTHER AMT NARCOTIC SCHED I&II,1421
720-5/21-1(1)(a),Nonviolent,KNOW DAMAGE PROP >$300-10K,1322
720-5/12-4(b)(6),Violent,AGG BATTERY/PEACE OFF/FIREMAN,1312
625-5/6-303(a),Nonviolent,DRIVING RVK/SUSP DUI/SSS 4-9,1278
720-5/18-1(A),Nonviolent,ROBBERY,1251
720-5/21-2,Nonviolent,CRIMINAL TRESPASS TO VEHICLES,1124
720-570/401(a)(1)(A),Drug,MFG/DEL 15<100 GR HEROIN/ANLG,1102
720-5/17-3(A)(1),Nonviolent,FORGERY/MAKE/ALTER DOCUME,1092
720-5/16-1(a)(1)(A),Nonviolent,THEFT CONTROL INTENT <$300,1073
720-570/405.1(A),Drug,CRIMINAL DRUG CONSPIRACY,1020
720-5/21-4(1)(a),Nonviolent,CRIM DMG/STATE PROP/KNOW/<$500,965
720-550/4(c),Drug,POSS CANNABIS/10-30 GRAM/1ST,956
720-570/407(B)(2),Drug,AMT NARC SCHED I/II/SCH/H,953
720-250/8,Nonviolent,MISUSE CREDIT CARD >$300,863
625-5/11-501(C)(1)(1),Nonviolent,DUI LIC SUSPENDED OR REVO,851
720-5/12-14.1(a)(1),Violent,PREDATORY CRIMINAL SEXUAL ASLT,847
720-5/24-1.6(a)(2),Violent,AGG UUW/ON PERSON,845
720-5/12-4(b)(8),Violent,AGG BATTERY/PUBLIC PLACE,776
720-5/24-1(a)(4),Nonviolent,CARRY/POSSESS FIREARM/1ST,762
730-150/3(a),Nonviolent,VIOLATE SEX OFFENDER REGIS,762
720-5/12-3,Violent,BATTERY,748
625-5/11-501(c)(1)(2),Nonviolent,DUI LIC SUSP OR REVOKED/THIRD,739
720-5/18-2(A),Violent,ARMED ROBBERY,717
720-570/407(B)(1),Drug,MFG/DEL COCAINE/SCH/PUB H,705
730-5/5-8A(4.1)(a),Nonviolent,ESCAPE/VIOLATE ELEC MONITORING,690
720-570/401(a)(2)(B),Drug,MFG/DEL 100<400 GR COCA/ANLG,686
720-5/19-3,Nonviolent,RESIDENTIAL BURGLARY,686
720-5/24-1.7(a),Violent,ARMED HABITUAL CRIMINAL,673
